id,question,answer,company,role,difficulty,category
11,What is the role of excel in data analysis?,"Excel is a widely-used spreadsheet tool for data analysis. It includes functions like VLOOKUP, INDEX-MATCH, pivot tables, charts, and conditional formatting. Data analysts use Excel for quick exploration, dashboarding, and basic statistical computations.",Amazon,Data Analyst,Medium,Excel
12,What is the role of data interpretation in data analysis?,"Data interpretation involves making sense of numerical data by recognizing patterns, correlations, and trends. Analysts use summary statistics, visualizations, and domain context to draw conclusions.",Infosys,Data Analyst,Hard,Data Interpretation
13,What is the role of python in data analysis?,"Python is a powerful language for data analysis due to libraries like pandas, NumPy, matplotlib, and seaborn. It supports data wrangling, cleaning, visualization, and even basic modeling.",Microsoft,Data Analyst,Easy,Python
14,What is the role of data warehousing in data analysis?,"Data warehousing involves collecting and managing data from various sources to provide meaningful business insights. Tools include Snowflake, Redshift, BigQuery. Data analysts often query data warehouses using SQL for reporting.",Amazon,Data Analyst,Hard,Data Warehousing
15,What is the role of etl in data analysis?,"ETL stands for Extract, Transform, Load. It refers to the process of extracting data from sources, transforming it to fit business needs, and loading it into a target database or warehouse. ETL tools include Talend, Apache NiFi, and Informatica.",TCS,Data Analyst,Hard,ETL
16,What is the role of etl in data analysis?,"ETL stands for Extract, Transform, Load. It refers to the process of extracting data from sources, transforming it to fit business needs, and loading it into a target database or warehouse. ETL tools include Talend, Apache NiFi, and Informatica.",Amazon,Data Analyst,Medium,ETL
17,What is the role of a/b testing in data analysis?,"A/B testing compares two versions of a variable to determine which performs better. It involves hypothesis testing, statistical significance (p-values), and confidence intervals. Used widely in product design and marketing campaigns.",Meta,Data Analyst,Hard,A/B Testing
18,What is the role of tableau in data analysis?,"Tableau is a data visualization tool used to create interactive dashboards and reports. It supports real-time data blending and drag-and-drop UI. It helps in identifying patterns, trends, and insights visually.",TCS,Data Analyst,Medium,Tableau
19,What is the role of data interpretation in data analysis?,"Data interpretation involves making sense of numerical data by recognizing patterns, correlations, and trends. Analysts use summary statistics, visualizations, and domain context to draw conclusions.",Google,Data Analyst,Easy,Data Interpretation
20,What is the role of business intelligence in data analysis?,"Business Intelligence (BI) involves analyzing historical and current data to help make business decisions. BI tools like Power BI and Tableau visualize trends, KPI tracking, and business forecasts.",Meta,Data Analyst,Medium,Business Intelligence
21,What is the role of tableau in data analysis?,"Tableau is a data visualization tool used to create interactive dashboards and reports. It supports real-time data blending and drag-and-drop UI. It helps in identifying patterns, trends, and insights visually.",Infosys,Data Analyst,Easy,Tableau
22,What is the role of power bi in data analysis?,"Power BI is a business analytics tool for building interactive dashboards. It enables data connections, DAX calculations, filtering, and visualization. Data Analysts use Power BI for executive-level reporting.",Google,Data Analyst,Easy,Power BI
23,What is the role of etl in data analysis?,"ETL stands for Extract, Transform, Load. It refers to the process of extracting data from sources, transforming it to fit business needs, and loading it into a target database or warehouse. ETL tools include Talend, Apache NiFi, and Informatica.",Microsoft,Data Analyst,Medium,ETL
24,What is the role of business intelligence in data analysis?,"Business Intelligence (BI) involves analyzing historical and current data to help make business decisions. BI tools like Power BI and Tableau visualize trends, KPI tracking, and business forecasts.",TCS,Data Analyst,Hard,Business Intelligence
25,What is the role of data visualization in data analysis?,"Data visualization refers to presenting data through graphs, charts, and dashboards to extract insights. Tools include Tableau, Power BI, matplotlib, and seaborn. Common types include bar charts, line charts, histograms, and scatter plots.",TCS,Data Analyst,Hard,Data Visualization
26,What is the role of excel in data analysis?,"Excel is a widely-used spreadsheet tool for data analysis. It includes functions like VLOOKUP, INDEX-MATCH, pivot tables, charts, and conditional formatting. Data analysts use Excel for quick exploration, dashboarding, and basic statistical computations.",Google,Data Analyst,Easy,Excel
27,What is the role of tableau in data analysis?,"Tableau is a data visualization tool used to create interactive dashboards and reports. It supports real-time data blending and drag-and-drop UI. It helps in identifying patterns, trends, and insights visually.",Meta,Data Analyst,Easy,Tableau
28,What is the role of data cleaning in data analysis?,"Data cleaning involves correcting or removing inaccurate records from a dataset. This includes handling missing values, outliers, and inconsistent formats. Tools include Excel, Python (pandas), and SQL. Clean data ensures better analysis and modeling.",TCS,Data Analyst,Hard,Data Cleaning
29,What is the role of data modeling in data analysis?,"Data modeling structures data for databases or analytics. It includes ER diagrams, normalization (1NF to 3NF), and defining relationships (1:1, 1:N, N:M). Helps ensure efficient querying and data integrity.",Amazon,Data Analyst,Easy,Data Modeling
30,What is the role of sql in data analysis?,"SQL (Structured Query Language) is used for managing relational databases. It allows you to create, query, update, and delete data. Data Analysts use SQL to perform operations like JOINs, filtering with WHERE, aggregation using GROUP BY, and ranking using window functions.",Infosys,Data Analyst,Easy,SQL
31,What is the role of data interpretation in data analysis?,"Data interpretation involves making sense of numerical data by recognizing patterns, correlations, and trends. Analysts use summary statistics, visualizations, and domain context to draw conclusions.",TCS,Data Analyst,Easy,Data Interpretation
32,What is the role of etl in data analysis?,"ETL stands for Extract, Transform, Load. It refers to the process of extracting data from sources, transforming it to fit business needs, and loading it into a target database or warehouse. ETL tools include Talend, Apache NiFi, and Informatica.",Amazon,Data Analyst,Hard,ETL
33,What is the role of data warehousing in data analysis?,"Data warehousing involves collecting and managing data from various sources to provide meaningful business insights. Tools include Snowflake, Redshift, BigQuery. Data analysts often query data warehouses using SQL for reporting.",Meta,Data Analyst,Medium,Data Warehousing
34,What is the role of statistics in data analysis?,"Statistics is the foundation of data analysis. Key concepts include mean, median, mode, standard deviation, correlation, and hypothesis testing (t-tests, chi-square tests). These help in understanding data distributions and making informed decisions.",Amazon,Data Analyst,Medium,Statistics
35,What is the role of a/b testing in data analysis?,"A/B testing compares two versions of a variable to determine which performs better. It involves hypothesis testing, statistical significance (p-values), and confidence intervals. Used widely in product design and marketing campaigns.",Microsoft,Data Analyst,Easy,A/B Testing
36,What is the role of data interpretation in data analysis?,"Data interpretation involves making sense of numerical data by recognizing patterns, correlations, and trends. Analysts use summary statistics, visualizations, and domain context to draw conclusions.",TCS,Data Analyst,Easy,Data Interpretation
37,What is the role of a/b testing in data analysis?,"A/B testing compares two versions of a variable to determine which performs better. It involves hypothesis testing, statistical significance (p-values), and confidence intervals. Used widely in product design and marketing campaigns.",Meta,Data Analyst,Easy,A/B Testing
38,What is the role of power bi in data analysis?,"Power BI is a business analytics tool for building interactive dashboards. It enables data connections, DAX calculations, filtering, and visualization. Data Analysts use Power BI for executive-level reporting.",Meta,Data Analyst,Hard,Power BI
39,What is the role of tableau in data analysis?,"Tableau is a data visualization tool used to create interactive dashboards and reports. It supports real-time data blending and drag-and-drop UI. It helps in identifying patterns, trends, and insights visually.",Meta,Data Analyst,Hard,Tableau
40,What is the role of statistics in data analysis?,"Statistics is the foundation of data analysis. Key concepts include mean, median, mode, standard deviation, correlation, and hypothesis testing (t-tests, chi-square tests). These help in understanding data distributions and making informed decisions.",Microsoft,Data Analyst,Hard,Statistics
41,What is the role of business intelligence in data analysis?,"Business Intelligence (BI) involves analyzing historical and current data to help make business decisions. BI tools like Power BI and Tableau visualize trends, KPI tracking, and business forecasts.",Meta,Data Analyst,Hard,Business Intelligence
42,What is the role of data cleaning in data analysis?,"Data cleaning involves correcting or removing inaccurate records from a dataset. This includes handling missing values, outliers, and inconsistent formats. Tools include Excel, Python (pandas), and SQL. Clean data ensures better analysis and modeling.",Meta,Data Analyst,Hard,Data Cleaning
43,What is the role of reporting in data analysis?,"Reporting refers to summarizing and presenting data findings using tools like Excel, Tableau, or Power BI. Reports may include KPIs, trends, anomalies, and recommendations. Automated reporting improves decision-making speed.",Meta,Data Analyst,Medium,Reporting
44,What is the role of reporting in data analysis?,"Reporting refers to summarizing and presenting data findings using tools like Excel, Tableau, or Power BI. Reports may include KPIs, trends, anomalies, and recommendations. Automated reporting improves decision-making speed.",TCS,Data Analyst,Medium,Reporting
45,What is the role of excel in data analysis?,"Excel is a widely-used spreadsheet tool for data analysis. It includes functions like VLOOKUP, INDEX-MATCH, pivot tables, charts, and conditional formatting. Data analysts use Excel for quick exploration, dashboarding, and basic statistical computations.",Google,Data Analyst,Hard,Excel
46,What is the role of excel in data analysis?,"Excel is a widely-used spreadsheet tool for data analysis. It includes functions like VLOOKUP, INDEX-MATCH, pivot tables, charts, and conditional formatting. Data analysts use Excel for quick exploration, dashboarding, and basic statistical computations.",Infosys,Data Analyst,Medium,Excel
47,What is the role of etl in data analysis?,"ETL stands for Extract, Transform, Load. It refers to the process of extracting data from sources, transforming it to fit business needs, and loading it into a target database or warehouse. ETL tools include Talend, Apache NiFi, and Informatica.",TCS,Data Analyst,Medium,ETL
48,What is the role of python in data analysis?,"Python is a powerful language for data analysis due to libraries like pandas, NumPy, matplotlib, and seaborn. It supports data wrangling, cleaning, visualization, and even basic modeling.",Google,Data Analyst,Medium,Python
49,What is the role of a/b testing in data analysis?,"A/B testing compares two versions of a variable to determine which performs better. It involves hypothesis testing, statistical significance (p-values), and confidence intervals. Used widely in product design and marketing campaigns.",Infosys,Data Analyst,Hard,A/B Testing
50,What is the role of reporting in data analysis?,"Reporting refers to summarizing and presenting data findings using tools like Excel, Tableau, or Power BI. Reports may include KPIs, trends, anomalies, and recommendations. Automated reporting improves decision-making speed.",Microsoft,Data Analyst,Hard,Reporting
51,What is the role of data cleaning in data analysis?,"Data cleaning involves correcting or removing inaccurate records from a dataset. This includes handling missing values, outliers, and inconsistent formats. Tools include Excel, Python (pandas), and SQL. Clean data ensures better analysis and modeling.",TCS,Data Analyst,Medium,Data Cleaning
52,What is the role of data warehousing in data analysis?,"Data warehousing involves collecting and managing data from various sources to provide meaningful business insights. Tools include Snowflake, Redshift, BigQuery. Data analysts often query data warehouses using SQL for reporting.",Amazon,Data Analyst,Hard,Data Warehousing
53,What is the role of reporting in data analysis?,"Reporting refers to summarizing and presenting data findings using tools like Excel, Tableau, or Power BI. Reports may include KPIs, trends, anomalies, and recommendations. Automated reporting improves decision-making speed.",Microsoft,Data Analyst,Hard,Reporting
54,What is the role of reporting in data analysis?,"Reporting refers to summarizing and presenting data findings using tools like Excel, Tableau, or Power BI. Reports may include KPIs, trends, anomalies, and recommendations. Automated reporting improves decision-making speed.",Infosys,Data Analyst,Medium,Reporting
55,What is the role of excel in data analysis?,"Excel is a widely-used spreadsheet tool for data analysis. It includes functions like VLOOKUP, INDEX-MATCH, pivot tables, charts, and conditional formatting. Data analysts use Excel for quick exploration, dashboarding, and basic statistical computations.",Infosys,Data Analyst,Hard,Excel
56,What is the role of business intelligence in data analysis?,"Business Intelligence (BI) involves analyzing historical and current data to help make business decisions. BI tools like Power BI and Tableau visualize trends, KPI tracking, and business forecasts.",Google,Data Analyst,Easy,Business Intelligence
57,What is the role of data visualization in data analysis?,"Data visualization refers to presenting data through graphs, charts, and dashboards to extract insights. Tools include Tableau, Power BI, matplotlib, and seaborn. Common types include bar charts, line charts, histograms, and scatter plots.",TCS,Data Analyst,Medium,Data Visualization
58,What is the role of statistics in data analysis?,"Statistics is the foundation of data analysis. Key concepts include mean, median, mode, standard deviation, correlation, and hypothesis testing (t-tests, chi-square tests). These help in understanding data distributions and making informed decisions.",Microsoft,Data Analyst,Medium,Statistics
59,What is the role of data interpretation in data analysis?,"Data interpretation involves making sense of numerical data by recognizing patterns, correlations, and trends. Analysts use summary statistics, visualizations, and domain context to draw conclusions.",Infosys,Data Analyst,Medium,Data Interpretation
60,What is the role of sql in data analysis?,"SQL (Structured Query Language) is used for managing relational databases. It allows you to create, query, update, and delete data. Data Analysts use SQL to perform operations like JOINs, filtering with WHERE, aggregation using GROUP BY, and ranking using window functions.",Google,Data Analyst,Medium,SQL
61,What is the role of reporting in data analysis?,"Reporting refers to summarizing and presenting data findings using tools like Excel, Tableau, or Power BI. Reports may include KPIs, trends, anomalies, and recommendations. Automated reporting improves decision-making speed.",Infosys,Data Analyst,Easy,Reporting
62,What is the role of etl in data analysis?,"ETL stands for Extract, Transform, Load. It refers to the process of extracting data from sources, transforming it to fit business needs, and loading it into a target database or warehouse. ETL tools include Talend, Apache NiFi, and Informatica.",Amazon,Data Analyst,Easy,ETL
63,What is the role of reporting in data analysis?,"Reporting refers to summarizing and presenting data findings using tools like Excel, Tableau, or Power BI. Reports may include KPIs, trends, anomalies, and recommendations. Automated reporting improves decision-making speed.",Infosys,Data Analyst,Hard,Reporting
64,What is the role of reporting in data analysis?,"Reporting refers to summarizing and presenting data findings using tools like Excel, Tableau, or Power BI. Reports may include KPIs, trends, anomalies, and recommendations. Automated reporting improves decision-making speed.",Google,Data Analyst,Medium,Reporting
65,What is the role of etl in data analysis?,"ETL stands for Extract, Transform, Load. It refers to the process of extracting data from sources, transforming it to fit business needs, and loading it into a target database or warehouse. ETL tools include Talend, Apache NiFi, and Informatica.",Infosys,Data Analyst,Easy,ETL
66,What is the role of data cleaning in data analysis?,"Data cleaning involves correcting or removing inaccurate records from a dataset. This includes handling missing values, outliers, and inconsistent formats. Tools include Excel, Python (pandas), and SQL. Clean data ensures better analysis and modeling.",Microsoft,Data Analyst,Easy,Data Cleaning
67,What is the role of data visualization in data analysis?,"Data visualization refers to presenting data through graphs, charts, and dashboards to extract insights. Tools include Tableau, Power BI, matplotlib, and seaborn. Common types include bar charts, line charts, histograms, and scatter plots.",Meta,Data Analyst,Medium,Data Visualization
68,What is the role of etl in data analysis?,"ETL stands for Extract, Transform, Load. It refers to the process of extracting data from sources, transforming it to fit business needs, and loading it into a target database or warehouse. ETL tools include Talend, Apache NiFi, and Informatica.",Amazon,Data Analyst,Medium,ETL
69,What is the role of data cleaning in data analysis?,"Data cleaning involves correcting or removing inaccurate records from a dataset. This includes handling missing values, outliers, and inconsistent formats. Tools include Excel, Python (pandas), and SQL. Clean data ensures better analysis and modeling.",Infosys,Data Analyst,Easy,Data Cleaning
70,What is the role of a/b testing in data analysis?,"A/B testing compares two versions of a variable to determine which performs better. It involves hypothesis testing, statistical significance (p-values), and confidence intervals. Used widely in product design and marketing campaigns.",Meta,Data Analyst,Medium,A/B Testing
71,What is the role of etl in data analysis?,"ETL stands for Extract, Transform, Load. It refers to the process of extracting data from sources, transforming it to fit business needs, and loading it into a target database or warehouse. ETL tools include Talend, Apache NiFi, and Informatica.",Microsoft,Data Analyst,Easy,ETL
72,What is the role of data modeling in data analysis?,"Data modeling structures data for databases or analytics. It includes ER diagrams, normalization (1NF to 3NF), and defining relationships (1:1, 1:N, N:M). Helps ensure efficient querying and data integrity.",Infosys,Data Analyst,Medium,Data Modeling
73,What is the role of tableau in data analysis?,"Tableau is a data visualization tool used to create interactive dashboards and reports. It supports real-time data blending and drag-and-drop UI. It helps in identifying patterns, trends, and insights visually.",TCS,Data Analyst,Easy,Tableau
74,What is the role of a/b testing in data analysis?,"A/B testing compares two versions of a variable to determine which performs better. It involves hypothesis testing, statistical significance (p-values), and confidence intervals. Used widely in product design and marketing campaigns.",Microsoft,Data Analyst,Easy,A/B Testing
75,What is the role of tableau in data analysis?,"Tableau is a data visualization tool used to create interactive dashboards and reports. It supports real-time data blending and drag-and-drop UI. It helps in identifying patterns, trends, and insights visually.",Meta,Data Analyst,Hard,Tableau
76,What is the role of data modeling in data analysis?,"Data modeling structures data for databases or analytics. It includes ER diagrams, normalization (1NF to 3NF), and defining relationships (1:1, 1:N, N:M). Helps ensure efficient querying and data integrity.",Google,Data Analyst,Easy,Data Modeling
77,What is the role of a/b testing in data analysis?,"A/B testing compares two versions of a variable to determine which performs better. It involves hypothesis testing, statistical significance (p-values), and confidence intervals. Used widely in product design and marketing campaigns.",Meta,Data Analyst,Easy,A/B Testing
78,What is the role of statistics in data analysis?,"Statistics is the foundation of data analysis. Key concepts include mean, median, mode, standard deviation, correlation, and hypothesis testing (t-tests, chi-square tests). These help in understanding data distributions and making informed decisions.",TCS,Data Analyst,Medium,Statistics
79,What is the role of reporting in data analysis?,"Reporting refers to summarizing and presenting data findings using tools like Excel, Tableau, or Power BI. Reports may include KPIs, trends, anomalies, and recommendations. Automated reporting improves decision-making speed.",Meta,Data Analyst,Easy,Reporting
80,What is the role of excel in data analysis?,"Excel is a widely-used spreadsheet tool for data analysis. It includes functions like VLOOKUP, INDEX-MATCH, pivot tables, charts, and conditional formatting. Data analysts use Excel for quick exploration, dashboarding, and basic statistical computations.",Infosys,Data Analyst,Hard,Excel
81,What is the role of data cleaning in data analysis?,"Data cleaning involves correcting or removing inaccurate records from a dataset. This includes handling missing values, outliers, and inconsistent formats. Tools include Excel, Python (pandas), and SQL. Clean data ensures better analysis and modeling.",Infosys,Data Analyst,Hard,Data Cleaning
82,What is the role of sql in data analysis?,"SQL (Structured Query Language) is used for managing relational databases. It allows you to create, query, update, and delete data. Data Analysts use SQL to perform operations like JOINs, filtering with WHERE, aggregation using GROUP BY, and ranking using window functions.",Amazon,Data Analyst,Easy,SQL
83,What is the role of a/b testing in data analysis?,"A/B testing compares two versions of a variable to determine which performs better. It involves hypothesis testing, statistical significance (p-values), and confidence intervals. Used widely in product design and marketing campaigns.",TCS,Data Analyst,Hard,A/B Testing
84,What is the role of power bi in data analysis?,"Power BI is a business analytics tool for building interactive dashboards. It enables data connections, DAX calculations, filtering, and visualization. Data Analysts use Power BI for executive-level reporting.",Infosys,Data Analyst,Easy,Power BI
85,What is the role of tableau in data analysis?,"Tableau is a data visualization tool used to create interactive dashboards and reports. It supports real-time data blending and drag-and-drop UI. It helps in identifying patterns, trends, and insights visually.",TCS,Data Analyst,Hard,Tableau
86,What is the role of a/b testing in data analysis?,"A/B testing compares two versions of a variable to determine which performs better. It involves hypothesis testing, statistical significance (p-values), and confidence intervals. Used widely in product design and marketing campaigns.",Infosys,Data Analyst,Medium,A/B Testing
87,What is the role of etl in data analysis?,"ETL stands for Extract, Transform, Load. It refers to the process of extracting data from sources, transforming it to fit business needs, and loading it into a target database or warehouse. ETL tools include Talend, Apache NiFi, and Informatica.",Meta,Data Analyst,Medium,ETL
88,What is the role of excel in data analysis?,"Excel is a widely-used spreadsheet tool for data analysis. It includes functions like VLOOKUP, INDEX-MATCH, pivot tables, charts, and conditional formatting. Data analysts use Excel for quick exploration, dashboarding, and basic statistical computations.",Infosys,Data Analyst,Easy,Excel
89,What is the role of data warehousing in data analysis?,"Data warehousing involves collecting and managing data from various sources to provide meaningful business insights. Tools include Snowflake, Redshift, BigQuery. Data analysts often query data warehouses using SQL for reporting.",TCS,Data Analyst,Hard,Data Warehousing
90,What is the role of data interpretation in data analysis?,"Data interpretation involves making sense of numerical data by recognizing patterns, correlations, and trends. Analysts use summary statistics, visualizations, and domain context to draw conclusions.",Meta,Data Analyst,Easy,Data Interpretation
91,What is the role of statistics in data analysis?,"Statistics is the foundation of data analysis. Key concepts include mean, median, mode, standard deviation, correlation, and hypothesis testing (t-tests, chi-square tests). These help in understanding data distributions and making informed decisions.",TCS,Data Analyst,Hard,Statistics
92,What is the role of data interpretation in data analysis?,"Data interpretation involves making sense of numerical data by recognizing patterns, correlations, and trends. Analysts use summary statistics, visualizations, and domain context to draw conclusions.",Google,Data Analyst,Medium,Data Interpretation
93,What is the role of statistics in data analysis?,"Statistics is the foundation of data analysis. Key concepts include mean, median, mode, standard deviation, correlation, and hypothesis testing (t-tests, chi-square tests). These help in understanding data distributions and making informed decisions.",TCS,Data Analyst,Easy,Statistics
94,What is the role of data warehousing in data analysis?,"Data warehousing involves collecting and managing data from various sources to provide meaningful business insights. Tools include Snowflake, Redshift, BigQuery. Data analysts often query data warehouses using SQL for reporting.",Amazon,Data Analyst,Easy,Data Warehousing
95,What is the role of sql in data analysis?,"SQL (Structured Query Language) is used for managing relational databases. It allows you to create, query, update, and delete data. Data Analysts use SQL to perform operations like JOINs, filtering with WHERE, aggregation using GROUP BY, and ranking using window functions.",Meta,Data Analyst,Hard,SQL
96,What is the role of statistics in data analysis?,"Statistics is the foundation of data analysis. Key concepts include mean, median, mode, standard deviation, correlation, and hypothesis testing (t-tests, chi-square tests). These help in understanding data distributions and making informed decisions.",TCS,Data Analyst,Medium,Statistics
97,What is the role of data interpretation in data analysis?,"Data interpretation involves making sense of numerical data by recognizing patterns, correlations, and trends. Analysts use summary statistics, visualizations, and domain context to draw conclusions.",TCS,Data Analyst,Medium,Data Interpretation
98,What is the role of excel in data analysis?,"Excel is a widely-used spreadsheet tool for data analysis. It includes functions like VLOOKUP, INDEX-MATCH, pivot tables, charts, and conditional formatting. Data analysts use Excel for quick exploration, dashboarding, and basic statistical computations.",Meta,Data Analyst,Easy,Excel
99,What is the role of data cleaning in data analysis?,"Data cleaning involves correcting or removing inaccurate records from a dataset. This includes handling missing values, outliers, and inconsistent formats. Tools include Excel, Python (pandas), and SQL. Clean data ensures better analysis and modeling.",Microsoft,Data Analyst,Medium,Data Cleaning
100,What is the role of etl in data analysis?,"ETL stands for Extract, Transform, Load. It refers to the process of extracting data from sources, transforming it to fit business needs, and loading it into a target database or warehouse. ETL tools include Talend, Apache NiFi, and Informatica.",Meta,Data Analyst,Easy,ETL
101,What is the role of excel in data analysis?,"Excel is a widely-used spreadsheet tool for data analysis. It includes functions like VLOOKUP, INDEX-MATCH, pivot tables, charts, and conditional formatting. Data analysts use Excel for quick exploration, dashboarding, and basic statistical computations.",Infosys,Data Analyst,Hard,Excel
102,What is the role of sql in data analysis?,"SQL (Structured Query Language) is used for managing relational databases. It allows you to create, query, update, and delete data. Data Analysts use SQL to perform operations like JOINs, filtering with WHERE, aggregation using GROUP BY, and ranking using window functions.",Google,Data Analyst,Easy,SQL
103,What is the role of data modeling in data analysis?,"Data modeling structures data for databases or analytics. It includes ER diagrams, normalization (1NF to 3NF), and defining relationships (1:1, 1:N, N:M). Helps ensure efficient querying and data integrity.",Google,Data Analyst,Hard,Data Modeling
104,What is the role of power bi in data analysis?,"Power BI is a business analytics tool for building interactive dashboards. It enables data connections, DAX calculations, filtering, and visualization. Data Analysts use Power BI for executive-level reporting.",Google,Data Analyst,Hard,Power BI
105,What is the role of a/b testing in data analysis?,"A/B testing compares two versions of a variable to determine which performs better. It involves hypothesis testing, statistical significance (p-values), and confidence intervals. Used widely in product design and marketing campaigns.",Infosys,Data Analyst,Medium,A/B Testing
106,What is the role of power bi in data analysis?,"Power BI is a business analytics tool for building interactive dashboards. It enables data connections, DAX calculations, filtering, and visualization. Data Analysts use Power BI for executive-level reporting.",Microsoft,Data Analyst,Hard,Power BI
107,What is the role of tableau in data analysis?,"Tableau is a data visualization tool used to create interactive dashboards and reports. It supports real-time data blending and drag-and-drop UI. It helps in identifying patterns, trends, and insights visually.",Meta,Data Analyst,Medium,Tableau
108,What is the role of excel in data analysis?,"Excel is a widely-used spreadsheet tool for data analysis. It includes functions like VLOOKUP, INDEX-MATCH, pivot tables, charts, and conditional formatting. Data analysts use Excel for quick exploration, dashboarding, and basic statistical computations.",Amazon,Data Analyst,Hard,Excel
109,What is the role of data interpretation in data analysis?,"Data interpretation involves making sense of numerical data by recognizing patterns, correlations, and trends. Analysts use summary statistics, visualizations, and domain context to draw conclusions.",Amazon,Data Analyst,Hard,Data Interpretation
110,What is the role of data interpretation in data analysis?,"Data interpretation involves making sense of numerical data by recognizing patterns, correlations, and trends. Analysts use summary statistics, visualizations, and domain context to draw conclusions.",Meta,Data Analyst,Hard,Data Interpretation
111,What is the role of data warehousing in data analysis?,"Data warehousing involves collecting and managing data from various sources to provide meaningful business insights. Tools include Snowflake, Redshift, BigQuery. Data analysts often query data warehouses using SQL for reporting.",TCS,Data Analyst,Easy,Data Warehousing
112,What is the role of data modeling in data analysis?,"Data modeling structures data for databases or analytics. It includes ER diagrams, normalization (1NF to 3NF), and defining relationships (1:1, 1:N, N:M). Helps ensure efficient querying and data integrity.",Amazon,Data Analyst,Easy,Data Modeling
113,What is the role of statistics in data analysis?,"Statistics is the foundation of data analysis. Key concepts include mean, median, mode, standard deviation, correlation, and hypothesis testing (t-tests, chi-square tests). These help in understanding data distributions and making informed decisions.",Microsoft,Data Analyst,Medium,Statistics
114,What is the role of excel in data analysis?,"Excel is a widely-used spreadsheet tool for data analysis. It includes functions like VLOOKUP, INDEX-MATCH, pivot tables, charts, and conditional formatting. Data analysts use Excel for quick exploration, dashboarding, and basic statistical computations.",Amazon,Data Analyst,Hard,Excel
115,What is the role of data modeling in data analysis?,"Data modeling structures data for databases or analytics. It includes ER diagrams, normalization (1NF to 3NF), and defining relationships (1:1, 1:N, N:M). Helps ensure efficient querying and data integrity.",Meta,Data Analyst,Medium,Data Modeling
116,What is the role of reporting in data analysis?,"Reporting refers to summarizing and presenting data findings using tools like Excel, Tableau, or Power BI. Reports may include KPIs, trends, anomalies, and recommendations. Automated reporting improves decision-making speed.",Infosys,Data Analyst,Easy,Reporting
117,What is the role of power bi in data analysis?,"Power BI is a business analytics tool for building interactive dashboards. It enables data connections, DAX calculations, filtering, and visualization. Data Analysts use Power BI for executive-level reporting.",TCS,Data Analyst,Hard,Power BI
118,What is the role of data modeling in data analysis?,"Data modeling structures data for databases or analytics. It includes ER diagrams, normalization (1NF to 3NF), and defining relationships (1:1, 1:N, N:M). Helps ensure efficient querying and data integrity.",Microsoft,Data Analyst,Hard,Data Modeling
119,What is the role of data modeling in data analysis?,"Data modeling structures data for databases or analytics. It includes ER diagrams, normalization (1NF to 3NF), and defining relationships (1:1, 1:N, N:M). Helps ensure efficient querying and data integrity.",Meta,Data Analyst,Medium,Data Modeling
120,What is the role of power bi in data analysis?,"Power BI is a business analytics tool for building interactive dashboards. It enables data connections, DAX calculations, filtering, and visualization. Data Analysts use Power BI for executive-level reporting.",Amazon,Data Analyst,Hard,Power BI
